Distance function;Image size;Instance class;Instance;Optimal objective function value;Solution time [ms];IIO time [ms];Matryoshka time [ms];IIO step 2 basis changes;IIO iterations
OF1;512;LogGRF;01-07;2645244335803380;61497727;59991218;1506509;5711605;41666
OF1;512;LogGRF;01-09;2693243373267304;87462455;84692682;2769773;6772569;71591
OF1;512;LogGRF;02-01;2229215641521500;74985954;72228391;2757563;5403317;36269
OF1;512;LogGRF;02-05;2435417833415401;71925427;70188242;1737185;6572677;40303
OF1;512;LogGRF;02-06;3349829346758787;103189494;100876762;2312732;6216317;42894
OF1;512;LogGRF;02-07;2089709512646938;107894011;103502939;4391072;6478746;72768
OF1;512;LogGRF;02-09;3037360600037727;67365481;65343839;2021642;6920161;36189
OF1;512;LogGRF;03-01;1945394696337951;51980896;50181394;1799502;5362436;25349
OF1;512;LogGRF;03-02;3128714053882446;73429008;71504730;1924278;6178234;38709
OF1;512;LogGRF;03-04;1695855895333650;55432981;53625018;1807963;5630716;34116
OF1;512;LogGRF;03-05;1996175987890921;46732930;45222236;1510694;5407180;37700
OF1;512;LogGRF;03-06;1712854624701705;32186300;30950005;1236295;4997536;24403
OF1;512;LogGRF;03-07;3096008084715378;72062849;70100600;1962249;6704738;44925
OF1;512;LogGRF;03-09;1815719685900890;53255311;51818361;1436950;5230066;35735
OF1;512;LogGRF;03-10;3124487323395071;62503415;60805289;1698126;6401437;45515
OF1;512;LogGRF;04-01;2996809015186875;73660298;71908610;1751688;6637861;49519
OF1;512;LogGRF;04-02;4037406658574609;65028819;62743533;2285286;6109435;33500
OF1;512;LogGRF;04-05;2220966733869825;46441224;44011757;2429467;5976977;39642
OF1;512;LogGRF;04-06;1232887035795375;60251568;58751986;1499582;5169554;36980
OF1;512;LogGRF;04-07;3498289696112928;105028266;102413164;2615102;7177740;63740
OF1;512;LogGRF;04-09;1590893262090300;91024193;88539369;2484824;6398573;58598
OF1;512;LogGRF;04-10;2548317500476529;55729453;54379044;1350409;5963116;39804
OF1;512;LogGRF;05-06;2120226988361226;61051774;59590842;1460932;6068726;43620
OF1;512;LogGRF;05-07;2109258456073458;60752370;59326215;1426155;6297497;52367
OF1;512;LogGRF;05-09;1382603122404058;45541730;43929930;1611800;5036943;35072
OF1;512;LogGRF;07-06;2903546912466842;122953520;120334725;2618795;6783082;86503
OF1;512;LogGRF;08-01;1631149530182631;53959235;52342513;1616722;4432422;29431
OF1;512;LogGRF;08-02;1511016463412304;72825962;70891717;1934245;4876598;34439
OF1;512;LogGRF;08-03;2089771154886697;65695847;64238643;1457204;5864241;35206
OF1;512;LogGRF;08-04;2868377728149583;88110636;85727569;2383067;5362954;30876
OF1;512;LogGRF;08-05;1530865400069947;52056663;50516549;1540114;5840925;35351
OF1;512;LogGRF;08-06;2172330743559195;51149134;49414289;1734845;5631495;32624
OF1;512;LogGRF;08-07;1643072460630975;29885266;28907752;977514;4995050;22982
OF1;512;LogGRF;08-09;1961670343466078;61708590;60358802;1349788;6442748;33674
