Distance function,Image size,Instance class,Instance,Optimal objective function value,Solution time [ms],NWC time [ms],IIO step 2 basis changes,IIO iterations
OF1,32,LogitGRF,07-06,262583774247,230,0,20098,279
OF1,32,LogitGRF,07-08,417586631018,248,0,19574,340
OF1,32,LogitGRF,07-09,485462180104,239,0,22940,385
OF1,32,LogitGRF,07-10,384457073795,234,0,22064,291
OF1,32,LogitGRF,09-04,475514556590,234,0,21917,317
OF1,32,LogitGRF,09-05,388010485342,208,0,20371,257
OF1,32,LogitGRF,09-08,561804465922,248,0,22578,321
OF1,32,LogitGRF,09-10,274662715678,200,0,18599,258
OF1,32,LogitGRF,10-08,378689105553,230,0,21585,280
OF1,32,MicroscopyImages,01-02,288091795570,111,0,11651,208
OF1,32,MicroscopyImages,01-03,863488996159,86,0,10325,211
OF1,32,MicroscopyImages,01-04,602487193894,107,0,12653,184
OF1,32,MicroscopyImages,01-05,716655024595,121,0,12678,278
OF1,32,MicroscopyImages,01-06,752182099161,135,0,14976,236
OF1,32,MicroscopyImages,01-07,640614484066,111,0,13069,227
OF1,32,MicroscopyImages,01-08,654978042776,143,0,16016,278
OF1,32,MicroscopyImages,01-09,601240068693,109,0,10697,284
OF1,32,MicroscopyImages,01-10,499921086020,142,0,13942,337
OF1,32,MicroscopyImages,02-04,696264304203,147,0,16264,208
OF1,32,MicroscopyImages,02-05,622013405235,169,0,17255,257
OF1,32,MicroscopyImages,02-06,696224545500,189,0,18440,267
OF1,32,MicroscopyImages,02-08,683046538051,182,0,19376,272
OF1,32,MicroscopyImages,02-09,470174194943,107,0,11318,144
OF1,32,MicroscopyImages,02-10,380216936218,139,0,15161,163
OF1,32,MicroscopyImages,03-02,943241979264,123,0,13882,250
OF1,32,MicroscopyImages,03-04,326306850920,113,0,11792,228
OF1,32,MicroscopyImages,03-05,551197004237,108,0,12821,226
OF1,32,MicroscopyImages,03-06,406106431361,129,0,13847,258
OF1,32,MicroscopyImages,03-08,561310235684,101,0,12116,181
OF1,32,MicroscopyImages,03-09,619376404603,115,0,12617,259
OF1,32,MicroscopyImages,03-10,675376408824,133,0,15038,238
OF1,32,MicroscopyImages,04-05,486469592884,150,0,14995,245
OF1,32,MicroscopyImages,04-08,477932408499,148,0,15756,182
OF1,32,MicroscopyImages,04-10,431337791807,221,0,21528,340
OF1,32,MicroscopyImages,05-08,461378393734,161,0,18508,263
OF1,32,MicroscopyImages,05-10,383069883167,230,0,19972,384
OF1,32,MicroscopyImages,06-04,435624394866,214,0,18581,301
OF1,32,MicroscopyImages,06-05,178464486235,148,0,14999,198
OF1,32,MicroscopyImages,06-08,460501289132,237,0,21128,334
OF1,32,MicroscopyImages,06-09,448202218031,155,0,16304,260
OF1,32,MicroscopyImages,06-10,440203903174,266,0,22331,406
OF1,32,MicroscopyImages,07-02,648015919312,145,0,16212,257
OF1,32,MicroscopyImages,07-03,593554669312,79,0,9865,140
OF1,32,MicroscopyImages,07-04,483244181894,122,0,14186,184
OF1,32,MicroscopyImages,07-05,464929547495,144,0,15426,244
OF1,32,MicroscopyImages,07-06,476673645602,177,0,17044,289
OF1,32,MicroscopyImages,07-08,146064523201,124,0,13422,159
OF1,32,MicroscopyImages,07-09,667405694496,139,0,15233,269
OF1,32,MicroscopyImages,07-10,617854201292,151,0,16913,268
OF1,32,MicroscopyImages,09-04,481036145335,169,0,16446,354
OF1,32,MicroscopyImages,09-05,422424966228,150,0,15581,287
OF1,32,MicroscopyImages,09-08,673725392410,150,0,17056,254
OF1,32,MicroscopyImages,09-10,217002116859,154,0,14559,273
OF1,32,MicroscopyImages,10-08,626166563729,203,0,20067,319
OF1,32,Shapes,01-02,470495776000,114,0,12550,312
OF1,32,Shapes,01-03,88614400000,63,0,6178,135
OF1,32,Shapes,01-04,327099771023,181,0,15448,447
OF1,32,Shapes,01-05,249596333584,95,0,13083,143
OF1,32,Shapes,01-06,611118800000,116,0,16188,197
OF1,32,Shapes,01-07,441757895836,129,0,15625,207
OF1,32,Shapes,01-08,346687557361,70,0,11685,144
OF1,32,Shapes,01-09,229883600000,102,0,12902,151
OF1,32,Shapes,01-10,158095790368,97,0,11961,142
OF1,32,Shapes,02-04,156858382442,50,0,6782,138
OF1,32,Shapes,02-05,557533779434,53,0,6868,186
OF1,32,Shapes,02-06,577436896000,56,0,9077,158
OF1,32,Shapes,02-08,219258534999,34,0,5008,152
OF1,32,Shapes,02-09,514296672000,74,0,8507,292
OF1,32,Shapes,02-10,555213532931,48,0,6512,143
OF1,32,Shapes,03-02,472479232000,46,0,6988,145
OF1,32,Shapes,03-04,332983350461,61,0,9143,156
OF1,32,Shapes,03-05,256777101052,49,0,8432,111
OF1,32,Shapes,03-06,613242200000,75,0,11949,226
OF1,32,Shapes,03-08,351798520196,42,0,6818,142
OF1,32,Shapes,03-09,234633600000,51,0,7605,122
OF1,32,Shapes,03-10,177476288970,48,0,7405,113
OF1,32,Shapes,04-05,407594177630,115,0,10408,477
OF1,32,Shapes,04-08,141250968845,46,0,5987,133
OF1,32,Shapes,04-10,412176631684,112,0,11402,447
OF1,32,Shapes,05-08,374715170072,107,0,7247,644
OF1,32,Shapes,05-10,284555510052,64,0,9676,154
OF1,32,Shapes,06-04,552783340482,72,0,11778,202
OF1,32,Shapes,06-05,643339299281,61,0,12522,158
OF1,32,Shapes,06-08,575416475748,48,0,8366,165
OF1,32,Shapes,06-09,635712000000,77,0,12906,204
OF1,32,Shapes,06-10,638897571089,112,0,18502,361
OF1,32,Shapes,07-02,462919981985,67,0,10398,183
OF1,32,Shapes,07-03,447638330547,70,0,10376,187
OF1,32,Shapes,07-04,420470543441,91,0,14316,200
OF1,32,Shapes,07-05,505379987939,73,0,11090,177
OF1,32,Shapes,07-06,968532082158,99,0,15158,273
OF1,32,Shapes,07-08,439586401911,64,0,9479,226
OF1,32,Shapes,07-09,494049863913,90,0,11883,263
OF1,32,Shapes,07-10,490806292603,86,0,12233,216
OF1,32,Shapes,09-04,399924053927,78,0,10094,219
OF1,32,Shapes,09-05,342734072695,67,0,10236,161
OF1,32,Shapes,09-08,416224515635,61,0,7993,253
OF1,32,Shapes,09-10,278084896387,59,0,8779,139
OF1,32,Shapes,10-08,447574964719,47,0,7037,153
OF1,32,WhiteNoise,01-02,57155605881,175,0,16541,177
OF1,32,WhiteNoise,01-03,60369901313,186,0,16276,190
OF1,32,WhiteNoise,01-04,72488445412,187,0,15499,189
OF1,32,WhiteNoise,01-05,62577225562,199,0,16194,211
OF1,32,WhiteNoise,01-06,53211775118,186,0,14294,212
OF1,32,WhiteNoise,01-07,58499517183,203,0,18017,235
OF1,32,WhiteNoise,01-08,56645248683,200,0,16841,190
OF1,32,WhiteNoise,01-09,70309185938,182,0,14638,193
OF1,32,WhiteNoise,01-10,60256268958,152,0,12656,160
OF1,32,WhiteNoise,02-04,71415060782,224,0,17968,242
OF1,32,WhiteNoise,02-05,61544691084,176,0,14694,172
OF1,32,WhiteNoise,02-06,59979296430,215,0,18081,234
OF1,32,WhiteNoise,02-08,54465738427,228,0,18231,259
OF1,32,WhiteNoise,02-09,61597100671,170,0,15168,170
OF1,32,WhiteNoise,02-10,62767766263,202,0,16309,218
OF1,32,WhiteNoise,03-02,60877218031,184,0,16452,211
OF1,32,WhiteNoise,03-04,72336751987,239,0,19266,288
OF1,32,WhiteNoise,03-05,63637961939,178,0,16189,185
OF1,32,WhiteNoise,03-06,53300577644,222,0,16589,233
OF1,32,WhiteNoise,03-08,66106390383,191,0,16430,188
OF1,32,WhiteNoise,03-09,63904260588,200,0,15045,221
OF1,32,WhiteNoise,03-10,55557939020,206,0,16409,214
OF1,32,WhiteNoise,04-05,59571305412,174,0,16419,176
OF1,32,WhiteNoise,04-08,72055977501,198,0,17551,200
OF1,32,WhiteNoise,04-10,82129694629,176,0,16495,180
OF1,32,WhiteNoise,05-08,63884105234,182,0,17709,179
OF1,32,WhiteNoise,05-10,66996773336,216,0,17240,236
OF1,32,WhiteNoise,06-04,64151622677,157,0,12605,149
OF1,32,WhiteNoise,06-05,57460836232,248,0,18890,265
OF1,32,WhiteNoise,06-08,58543744204,174,0,17387,165
OF1,32,WhiteNoise,06-09,66349396194,220,0,17921,249
